InvoiceNo,CustomerID,ProductID,ProductName,Category,Brand,Quantity,UnitPrice,InvoiceDate,Country,Revenue
INV200000,10037,4759,Product_189,Grocery,Adidas,6,189.71,01-01-2023 00:00,France,1138.26
INV200001,10235,7831,Product_251,Electronics,Loreal,3,401.03,01-01-2023 01:00,USA,1203.09
INV200002,10908,4876,Product_268,Accessories,Loreal,5,141.53,01-01-2023 02:00,France,707.65
INV200003,10072,8934,Product_220,Fashion,Philips,3,61.43,01-01-2023 03:00,UK,184.29
INV200004,10767,4320,Product_240,Beauty,Loreal,5,75.32,01-01-2023 04:00,UK,376.6
INV200005,10905,7425,Product_160,Home,Sony,5,493.23,01-01-2023 05:00,UK,2466.15
INV200006,10715,3668,Product_47,Home,Adidas,5,496.19,01-01-2023 06:00,USA,2480.95
INV200007,10645,2099,Product_249,Beauty,LG,3,330.02,01-01-2023 07:00,Germany,990.06
INV200008,10847,8902,Product_247,Home,LG,6,156.67,01-01-2023 08:00,France,940.02
INV200009,10960,2207,Product_141,Home,Adidas,2,335.71,01-01-2023 09:00,France,671.42
INV200010,10144,3536,Product_293,Electronics,Apple,5,156.07,01-01-2023 10:00,UK,780.35
INV200011,10129,1737,Product_100,Electronics,Philips,2,82.85,01-01-2023 11:00,India,165.7
INV200012,10972,1657,Product_149,Accessories,LG,6,365.92,01-01-2023 12:00,France,2195.52
INV200013,10583,2426,Product_254,Beauty,LG,6,42.99,01-01-2023 13:00,USA,257.94
INV200014,10749,8510,Product_45,Fashion,Adidas,5,53.77,01-01-2023 14:00,UK,268.85
INV200015,10508,6634,Product_45,Home,Apple,4,288.37,01-01-2023 15:00,India,1153.48
INV200016,10390,8230,Product_182,Home,Apple,7,250.07,01-01-2023 16:00,USA,1750.49
INV200017,10281,2882,Product_28,Home,Loreal,1,215.89,01-01-2023 17:00,UK,215.89
INV200018,10178,3441,Product_267,Accessories,LG,5,259.48,01-01-2023 18:00,India,1297.4
INV200019,10276,1353,Product_35,Grocery,Philips,7,280.71,01-01-2023 19:00,India,1964.97
INV200020,10254,3737,Product_81,Fashion,Sony,1,431.18,01-01-2023 20:00,USA,431.18
INV200021,10357,6383,Product_275,Grocery,Apple,7,135.29,01-01-2023 21:00,France,947.03
INV200022,10914,9190,Product_266,Home,Adidas,4,55.87,01-01-2023 22:00,France,223.48
INV200023,10468,6590,Product_201,Accessories,LG,7,23.55,01-01-2023 23:00,UK,164.85
INV200024,10907,5657,Product_205,Grocery,Adidas,5,241.34,02-01-2023 00:00,Germany,1206.7
INV200025,10252,2413,Product_215,Beauty,Sony,6,279.51,02-01-2023 01:00,UK,1677.06
INV200026,10490,9276,Product_290,Beauty,LG,6,313.5,02-01-2023 02:00,India,1881
INV200027,10668,5142,Product_228,Fashion,Apple,4,410.51,02-01-2023 03:00,India,1642.04
INV200028,10925,8369,Product_270,Electronics,Philips,5,92.5,02-01-2023 04:00,UK,462.5
INV200029,10398,8112,Product_169,Beauty,Adidas,1,327.64,02-01-2023 05:00,UK,327.64
INV200030,10562,6128,Product_225,Accessories,Nike,5,339.63,02-01-2023 06:00,Germany,1698.15
INV200031,10580,8006,Product_235,Grocery,LG,1,487.01,02-01-2023 07:00,France,487.01
INV200032,10215,1821,Product_185,Beauty,LG,4,437.12,02-01-2023 08:00,France,1748.48
INV200033,10983,8980,Product_20,Grocery,Sony,1,247.14,02-01-2023 09:00,India,247.14
INV200034,10753,5505,Product_251,Beauty,Adidas,3,306.16,02-01-2023 10:00,USA,918.48
INV200035,10503,9455,Product_127,Home,Philips,2,38.24,02-01-2023 11:00,Germany,76.48
INV200036,10478,7849,Product_233,Grocery,Adidas,5,455.07,02-01-2023 12:00,India,2275.35
INV200037,10864,4470,Product_205,Home,Samsung,6,86.93,02-01-2023 13:00,India,521.58
INV200038,10086,6351,Product_259,Fashion,Apple,3,127.83,02-01-2023 14:00,Germany,383.49
INV200039,10141,8589,Product_197,Fashion,LG,4,480.67,02-01-2023 15:00,USA,1922.68
INV200040,10393,2579,Product_0,Fashion,Philips,3,45.89,02-01-2023 16:00,India,137.67
INV200041,10007,7208,Product_22,Home,Philips,7,139.76,02-01-2023 17:00,India,978.32
INV200042,10319,7545,Product_271,Grocery,Samsung,3,126.33,02-01-2023 18:00,Germany,378.99
INV200043,10829,9007,Product_291,Electronics,Sony,3,253.14,02-01-2023 19:00,USA,759.42
INV200044,10534,8908,Product_46,Grocery,Loreal,5,453.95,02-01-2023 20:00,France,2269.75
INV200045,10313,9594,Product_203,Beauty,Apple,5,34.86,02-01-2023 21:00,USA,174.3
INV200046,10513,5389,Product_179,Beauty,Nike,6,303.5,02-01-2023 22:00,UK,1821
INV200047,10896,8919,Product_130,Electronics,Sony,5,329.23,02-01-2023 23:00,India,1646.15
INV200048,10316,8627,Product_53,Beauty,Apple,7,26.39,03-01-2023 00:00,UK,184.73
INV200049,10209,4614,Product_204,Grocery,Philips,7,366.14,03-01-2023 01:00,India,2562.98
INV200050,10264,8099,Product_102,Beauty,Nike,1,219.5,03-01-2023 02:00,France,219.5
INV200051,10728,4303,Product_156,Beauty,Apple,4,494.06,03-01-2023 03:00,France,1976.24
INV200052,10653,7519,Product_71,Grocery,Sony,7,169.72,03-01-2023 04:00,India,1188.04
INV200053,10627,8232,Product_278,Fashion,LG,1,71.11,03-01-2023 05:00,Germany,71.11
INV200054,10431,7773,Product_87,Fashion,Samsung,6,337.38,03-01-2023 06:00,UK,2024.28
INV200055,10633,9109,Product_33,Electronics,Nike,2,316.1,03-01-2023 07:00,Germany,632.2
INV200056,10456,8091,Product_64,Accessories,Samsung,1,235.44,03-01-2023 08:00,USA,235.44
INV200057,10542,1437,Product_252,Grocery,Nike,1,344.15,03-01-2023 09:00,Germany,344.15
INV200058,10071,3019,Product_101,Electronics,Sony,2,497.09,03-01-2023 10:00,UK,994.18
INV200059,10387,4224,Product_253,Beauty,Apple,5,197.11,03-01-2023 11:00,USA,985.55
INV200060,10454,6520,Product_93,Beauty,Philips,1,138.77,03-01-2023 12:00,UK,138.77
INV200061,10917,9717,Product_96,Electronics,Nike,6,436.89,03-01-2023 13:00,USA,2621.34
INV200062,10561,1214,Product_8,Fashion,Sony,1,381.3,03-01-2023 14:00,UK,381.3
INV200063,10313,7766,Product_226,Beauty,Sony,3,178.6,03-01-2023 15:00,UK,535.8
INV200064,10515,6653,Product_113,Grocery,Philips,5,474.77,03-01-2023 16:00,India,2373.85
INV200065,10964,6649,Product_18,Accessories,LG,5,243.72,03-01-2023 17:00,France,1218.6
INV200066,10792,7521,Product_4,Home,Nike,7,44.28,03-01-2023 18:00,UK,309.96
INV200067,10497,8953,Product_40,Electronics,Apple,1,362.37,03-01-2023 19:00,Germany,362.37
INV200068,10043,8850,Product_42,Fashion,Loreal,2,56.2,03-01-2023 20:00,UK,112.4
INV200069,10588,9581,Product_135,Fashion,Loreal,7,129.37,03-01-2023 21:00,India,905.59
INV200070,10026,8800,Product_90,Home,Loreal,1,112.98,03-01-2023 22:00,France,112.98
INV200071,10820,7164,Product_221,Home,Apple,3,248.54,03-01-2023 23:00,UK,745.62
INV200072,10336,4784,Product_52,Accessories,Adidas,5,198.14,04-01-2023 00:00,France,990.7
INV200073,10621,7435,Product_223,Electronics,Adidas,6,205.74,04-01-2023 01:00,USA,1234.44
INV200074,10883,5240,Product_45,Electronics,Loreal,2,257.36,04-01-2023 02:00,Germany,514.72
INV200075,10297,8637,Product_87,Fashion,Samsung,7,426.15,04-01-2023 03:00,USA,2983.05
INV200076,10466,9245,Product_12,Beauty,Adidas,3,434.35,04-01-2023 04:00,France,1303.05
INV200077,10015,9650,Product_23,Electronics,Loreal,6,404.59,04-01-2023 05:00,France,2427.54
INV200078,10064,8879,Product_77,Accessories,Loreal,6,134.13,04-01-2023 06:00,Germany,804.78
INV200079,10196,7891,Product_64,Fashion,Nike,1,319.56,04-01-2023 07:00,Germany,319.56
INV200080,10025,3103,Product_237,Accessories,Nike,7,306.4,04-01-2023 08:00,Germany,2144.8
INV200081,10367,6140,Product_57,Home,Nike,5,310.58,04-01-2023 09:00,India,1552.9
INV200082,10738,6710,Product_176,Electronics,LG,4,102.41,04-01-2023 10:00,Germany,409.64
INV200083,10471,7149,Product_81,Electronics,LG,6,441.85,04-01-2023 11:00,France,2651.1
INV200084,10903,2573,Product_268,Accessories,Nike,7,140.63,04-01-2023 12:00,India,984.41
INV200085,10282,6478,Product_170,Beauty,Sony,2,343.05,04-01-2023 13:00,France,686.1
INV200086,10665,5507,Product_35,Grocery,Sony,1,297.31,04-01-2023 14:00,USA,297.31
INV200087,10616,4766,Product_266,Accessories,Sony,6,463.72,04-01-2023 15:00,France,2782.32
INV200088,10022,5146,Product_268,Beauty,Philips,1,439.52,04-01-2023 16:00,USA,439.52
INV200089,10777,5400,Product_3,Fashion,Loreal,4,474.84,04-01-2023 17:00,USA,1899.36
INV200090,10707,4027,Product_23,Accessories,Samsung,5,367.37,04-01-2023 18:00,India,1836.85
INV200091,10999,4196,Product_183,Electronics,Samsung,3,478.1,04-01-2023 19:00,UK,1434.3
INV200092,10126,6088,Product_236,Electronics,Apple,3,85.72,04-01-2023 20:00,Germany,257.16
INV200093,10279,5340,Product_211,Home,LG,4,95.24,04-01-2023 21:00,India,380.96
INV200094,10381,2341,Product_134,Accessories,Nike,1,333.98,04-01-2023 22:00,India,333.98
INV200095,10356,8684,Product_249,Fashion,LG,1,176.59,04-01-2023 23:00,UK,176.59
INV200096,10155,1722,Product_40,Home,Apple,3,63.66,05-01-2023 00:00,India,190.98
INV200097,10933,1247,Product_78,Accessories,Philips,6,80.85,05-01-2023 01:00,India,485.1
INV200098,10313,6359,Product_22,Fashion,Samsung,2,156.11,05-01-2023 02:00,France,312.22
INV200099,10595,8389,Product_264,Beauty,Apple,5,197.36,05-01-2023 03:00,India,986.8
INV200100,10166,5279,Product_293,Accessories,Sony,6,311.51,05-01-2023 04:00,UK,1869.06
INV200101,10648,2982,Product_176,Beauty,Philips,3,98.26,05-01-2023 05:00,USA,294.78
INV200102,10288,8480,Product_154,Fashion,Philips,2,45.82,05-01-2023 06:00,Germany,91.64
INV200103,10418,7204,Product_204,Beauty,Sony,2,235.89,05-01-2023 07:00,UK,471.78
INV200104,10778,4622,Product_289,Fashion,Adidas,7,235.91,05-01-2023 08:00,UK,1651.37
INV200105,10279,6447,Product_58,Home,Loreal,6,349.56,05-01-2023 09:00,USA,2097.36
INV200106,10655,9389,Product_126,Grocery,Loreal,6,448.71,05-01-2023 10:00,France,2692.26
INV200107,10751,6900,Product_114,Beauty,Loreal,5,430.69,05-01-2023 11:00,USA,2153.45
INV200108,10087,1914,Product_230,Fashion,Nike,6,289.73,05-01-2023 12:00,Germany,1738.38
INV200109,10793,9629,Product_18,Home,Nike,1,11.45,05-01-2023 13:00,UK,11.45
INV200110,10967,8006,Product_241,Fashion,Adidas,6,427.09,05-01-2023 14:00,Germany,2562.54
INV200111,10243,7315,Product_260,Home,Adidas,6,447.23,05-01-2023 15:00,UK,2683.38
INV200112,10348,2630,Product_28,Beauty,Philips,1,217.88,05-01-2023 16:00,India,217.88
INV200113,10586,4555,Product_219,Accessories,Philips,6,398.92,05-01-2023 17:00,UK,2393.52
INV200114,10190,7230,Product_246,Fashion,Adidas,3,325.36,05-01-2023 18:00,UK,976.08
INV200115,10302,3334,Product_253,Fashion,LG,5,230.67,05-01-2023 19:00,France,1153.35
INV200116,10928,4895,Product_103,Accessories,Samsung,7,236.49,05-01-2023 20:00,USA,1655.43
INV200117,10728,4492,Product_203,Home,Philips,1,243.92,05-01-2023 21:00,India,243.92
INV200118,10151,2335,Product_1,Beauty,Nike,3,22.85,05-01-2023 22:00,Germany,68.55
INV200119,10695,8059,Product_80,Grocery,Philips,5,34.51,05-01-2023 23:00,France,172.55
INV200120,10321,3994,Product_99,Grocery,LG,2,228.49,06-01-2023 00:00,Germany,456.98
INV200121,10369,7504,Product_247,Grocery,Loreal,3,46.25,06-01-2023 01:00,USA,138.75
INV200122,10845,4063,Product_150,Grocery,Sony,2,316.88,06-01-2023 02:00,UK,633.76
INV200123,10771,9365,Product_270,Fashion,Sony,4,333.67,06-01-2023 03:00,UK,1334.68
INV200124,10896,7731,Product_220,Electronics,Philips,6,137.18,06-01-2023 04:00,USA,823.08
INV200125,10253,2055,Product_83,Accessories,Samsung,2,350.7,06-01-2023 05:00,Germany,701.4
INV200126,10461,4805,Product_196,Grocery,Adidas,3,267,06-01-2023 06:00,UK,801
INV200127,10774,4771,Product_204,Electronics,Sony,6,139.35,06-01-2023 07:00,France,836.1
INV200128,10564,4147,Product_260,Grocery,Nike,7,81.4,06-01-2023 08:00,UK,569.8
INV200129,10469,3649,Product_297,Fashion,Loreal,7,133.05,06-01-2023 09:00,UK,931.35
INV200130,10454,6200,Product_273,Fashion,Nike,1,487.03,06-01-2023 10:00,Germany,487.03
INV200131,10514,1643,Product_170,Beauty,Loreal,2,162.68,06-01-2023 11:00,Germany,325.36
INV200132,10588,3313,Product_165,Beauty,LG,6,163.69,06-01-2023 12:00,India,982.14
INV200133,10987,3754,Product_234,Fashion,Philips,2,388.4,06-01-2023 13:00,France,776.8
INV200134,10149,3883,Product_193,Fashion,Sony,7,330.21,06-01-2023 14:00,USA,2311.47
INV200135,10715,1850,Product_116,Beauty,Nike,4,304.09,06-01-2023 15:00,USA,1216.36
INV200136,10263,6880,Product_17,Accessories,Nike,3,247.11,06-01-2023 16:00,France,741.33
INV200137,10077,7218,Product_259,Accessories,Samsung,1,138.85,06-01-2023 17:00,France,138.85
INV200138,10712,1111,Product_97,Beauty,Sony,6,215.88,06-01-2023 18:00,India,1295.28
INV200139,10075,3616,Product_190,Home,Nike,4,123.84,06-01-2023 19:00,Germany,495.36
INV200140,10332,4116,Product_16,Fashion,Philips,5,184.74,06-01-2023 20:00,UK,923.7
INV200141,10043,4829,Product_80,Home,LG,2,202.68,06-01-2023 21:00,UK,405.36
INV200142,10532,5039,Product_248,Home,Samsung,1,349.21,06-01-2023 22:00,Germany,349.21
INV200143,10542,8586,Product_296,Fashion,Sony,5,184.84,06-01-2023 23:00,France,924.2
INV200144,10548,5807,Product_120,Electronics,Philips,6,147.8,07-01-2023 00:00,Germany,886.8
INV200145,10871,9785,Product_139,Accessories,LG,4,39.73,07-01-2023 01:00,USA,158.92
INV200146,10775,1546,Product_242,Electronics,Sony,5,403.16,07-01-2023 02:00,India,2015.8
INV200147,10813,4022,Product_237,Beauty,Nike,4,496.32,07-01-2023 03:00,France,1985.28
INV200148,10964,6057,Product_36,Fashion,Adidas,5,357.76,07-01-2023 04:00,Germany,1788.8
INV200149,10569,2271,Product_163,Grocery,Sony,3,31.97,07-01-2023 05:00,UK,95.91
INV200150,10752,6303,Product_145,Accessories,Samsung,1,374.03,07-01-2023 06:00,India,374.03
INV200151,10508,6691,Product_159,Grocery,Loreal,1,67.24,07-01-2023 07:00,France,67.24
INV200152,10210,8041,Product_273,Grocery,Loreal,3,158.35,07-01-2023 08:00,France,475.05
INV200153,10096,8727,Product_186,Fashion,Philips,3,106.78,07-01-2023 09:00,UK,320.34
INV200154,10269,9761,Product_187,Accessories,Apple,7,359.05,07-01-2023 10:00,UK,2513.35
INV200155,10010,5761,Product_163,Home,Philips,7,115.23,07-01-2023 11:00,France,806.61
INV200156,10279,4464,Product_195,Home,Nike,2,406.88,07-01-2023 12:00,Germany,813.76
INV200157,10892,5265,Product_78,Electronics,Philips,4,488.37,07-01-2023 13:00,France,1953.48
INV200158,10849,5818,Product_113,Beauty,Loreal,5,385.86,07-01-2023 14:00,France,1929.3
INV200159,10903,5585,Product_169,Fashion,LG,2,407.62,07-01-2023 15:00,UK,815.24
INV200160,10889,4238,Product_289,Electronics,Apple,2,65.97,07-01-2023 16:00,India,131.94
INV200161,10152,8209,Product_92,Accessories,Nike,6,332.42,07-01-2023 17:00,USA,1994.52
INV200162,10714,8654,Product_200,Electronics,Nike,2,129.73,07-01-2023 18:00,France,259.46
INV200163,10476,2997,Product_133,Fashion,Samsung,6,181.94,07-01-2023 19:00,France,1091.64
INV200164,10660,6581,Product_281,Grocery,Philips,5,197.22,07-01-2023 20:00,France,986.1
INV200165,10416,4493,Product_118,Grocery,Philips,7,394.25,07-01-2023 21:00,Germany,2759.75
INV200166,10140,7213,Product_74,Electronics,LG,5,123.73,07-01-2023 22:00,India,618.65
INV200167,10193,5590,Product_244,Home,Sony,6,380.67,07-01-2023 23:00,France,2284.02
INV200168,10606,8446,Product_88,Fashion,Adidas,2,390.32,08-01-2023 00:00,USA,780.64
INV200169,10572,5662,Product_163,Beauty,Nike,1,59.97,08-01-2023 01:00,India,59.97
INV200170,10489,6202,Product_76,Beauty,Samsung,4,136.13,08-01-2023 02:00,Germany,544.52
INV200171,10152,2570,Product_259,Fashion,Nike,3,475.11,08-01-2023 03:00,India,1425.33
INV200172,10338,6819,Product_250,Home,Apple,2,98.42,08-01-2023 04:00,USA,196.84
INV200173,10883,6540,Product_97,Grocery,Adidas,6,344.78,08-01-2023 05:00,India,2068.68
INV200174,10865,6151,Product_270,Electronics,LG,4,139.04,08-01-2023 06:00,India,556.16
INV200175,10130,1912,Product_18,Grocery,Adidas,5,25.24,08-01-2023 07:00,USA,126.2
INV200176,10492,8592,Product_178,Beauty,Sony,1,89.7,08-01-2023 08:00,France,89.7
INV200177,10732,6559,Product_25,Grocery,Apple,7,143.41,08-01-2023 09:00,India,1003.87
INV200178,10615,4410,Product_75,Grocery,Samsung,2,315.95,08-01-2023 10:00,UK,631.9
INV200179,10866,2279,Product_132,Home,Loreal,3,199.15,08-01-2023 11:00,India,597.45
INV200180,10266,5902,Product_69,Electronics,Loreal,4,191.96,08-01-2023 12:00,USA,767.84
INV200181,10694,5964,Product_250,Electronics,Samsung,3,130.37,08-01-2023 13:00,India,391.11
INV200182,10864,6900,Product_95,Grocery,Adidas,3,73.39,08-01-2023 14:00,France,220.17
INV200183,10489,1058,Product_86,Home,Adidas,7,314.12,08-01-2023 15:00,France,2198.84
INV200184,10850,8301,Product_8,Accessories,Samsung,2,472.39,08-01-2023 16:00,USA,944.78
INV200185,10470,5634,Product_118,Grocery,Nike,5,216.8,08-01-2023 17:00,France,1084
INV200186,10198,9595,Product_112,Home,Sony,6,307.38,08-01-2023 18:00,USA,1844.28
INV200187,10706,1291,Product_189,Grocery,Samsung,7,414.93,08-01-2023 19:00,UK,2904.51
INV200188,10327,8660,Product_94,Beauty,Samsung,2,289.3,08-01-2023 20:00,France,578.6
INV200189,10999,7014,Product_251,Fashion,Nike,7,101.92,08-01-2023 21:00,India,713.44
INV200190,10176,2478,Product_139,Grocery,Adidas,4,240.11,08-01-2023 22:00,USA,960.44
INV200191,10566,4905,Product_116,Beauty,Adidas,1,176.06,08-01-2023 23:00,UK,176.06
INV200192,10015,2152,Product_39,Electronics,Apple,1,222.98,09-01-2023 00:00,USA,222.98
INV200193,10901,7812,Product_225,Electronics,Loreal,6,125.11,09-01-2023 01:00,India,750.66
INV200194,10401,4426,Product_23,Fashion,Nike,4,351.82,09-01-2023 02:00,India,1407.28
INV200195,10170,4701,Product_205,Home,Sony,7,92.93,09-01-2023 03:00,UK,650.51
INV200196,10020,1926,Product_87,Grocery,Samsung,3,78.55,09-01-2023 04:00,USA,235.65
INV200197,10630,9354,Product_256,Accessories,Samsung,6,296.79,09-01-2023 05:00,Germany,1780.74
INV200198,10944,2219,Product_230,Accessories,LG,5,474.87,09-01-2023 06:00,USA,2374.35
