CustomerID,Country,Recency,Frequency,Monetary
10000,France,613.0,4,6085.2
10000,Germany,468.0,3,4527.95
10000,India,64.0,3,1971.31
10000,UK,,1,916.32
10000,USA,561.0,2,555.12
10001,France,400.0,4,5327.7300000000005
10001,Germany,245.0,1,3078.95
10001,India,192.0,6,6270.68
10001,UK,154.0,5,5152.19
10001,USA,71.0,3,4610.9400000000005
10002,France,62.0,4,2605.7799999999997
10002,Germany,97.0,7,5206.33
10002,India,246.0,2,1561.55
10002,UK,68.0,4,2322.25
10002,USA,279.0,3,3671.09
10003,France,,4,5414.93
10003,Germany,42.0,3,2614.23
10003,India,155.0,6,3163.86
10003,UK,,1,429.53
10003,USA,11.0,5,5675.780000000001
10004,France,307.0,1,2823.06
10004,Germany,222.0,5,8472.060000000001
10004,India,64.0,4,2092.69
10004,UK,286.0,2,3018.12
10005,France,,1,212.55
10005,Germany,,2,974.21
10005,India,,2,2110.31
10005,UK,185.0,5,7201.97
10005,USA,93.0,4,753.98
10006,France,101.0,2,1049.2
10006,Germany,155.0,4,2264.49
10006,India,367.0,1,611.12
10006,USA,,2,1335.04
10007,France,315.0,5,4934.4
10007,Germany,72.0,4,2875.35
10007,India,650.0,6,4865.31
10007,UK,,1,280.86
10007,USA,,5,2221.16
10008,France,245.0,3,3090.08
10008,Germany,307.0,5,4195.03
10008,India,430.0,3,3804.2200000000003
10008,UK,406.0,3,2501.09
10008,USA,101.0,3,1441.06
10009,France,,3,1025.86
10009,Germany,41.0,2,1562.93
10009,India,5.0,2,3023.1
10009,UK,191.0,6,5595.09
10009,USA,,1,161.24
10010,France,645.0,2,2368.61
10010,Germany,,2,2311.9399999999996
10010,India,34.0,2,2957.31
10010,UK,,1,2258.2
10010,USA,36.0,6,5239.35
10011,France,,1,261.88
10011,Germany,,2,1005.1400000000001
10011,India,226.0,7,8052.26
10011,UK,557.0,2,1778.6999999999998
10011,USA,,1,556.52
10012,France,,1,608.6
10012,Germany,373.0,3,4406.79
10012,India,217.0,2,1568.84
10012,UK,223.0,5,6400.4
10012,USA,2.0,5,6916.6
10013,France,127.0,1,907.23
10013,Germany,554.0,2,2159.1499999999996
10013,India,224.0,3,3236.75
10013,UK,132.0,2,1779.75
10013,USA,,1,1300.0
10014,France,,2,3210.63
10014,Germany,373.0,4,5568.92
10014,India,497.0,4,2224.59
10014,UK,,2,1407.09
10014,USA,,1,216.38
10015,France,648.0,5,6546.5
10015,Germany,248.0,1,417.36
10015,India,346.0,5,6494.09
10015,UK,132.0,5,4704.81
10015,USA,315.0,6,4036.42
10016,France,371.0,2,1291.38
10016,Germany,,2,415.6
10016,India,68.0,2,2799.4
10016,UK,96.0,3,2086.2
10016,USA,609.0,3,4026.05
10017,France,2.0,3,1068.23
10017,Germany,,1,522.14
10017,India,,3,1516.4499999999998
10017,UK,222.0,1,371.16
10017,USA,,1,1254.72
10018,France,314.0,3,1834.94
10018,Germany,65.0,6,8343.03
10018,India,255.0,5,6274.63
10018,UK,,3,3730.9599999999996
10018,USA,,4,4442.87
10019,France,188.0,3,3285.03
